epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,985.359,0.70883,0.47791,0.96764,0.84774,0.71711,0.83637,0.41427,1.71103,1.05177,1.53106,0.007162,0.007162,0.007162
45,1007.78,0.71485,0.47907,0.97352,0.78398,0.73684,0.78951,0.37204,1.82571,1.1218,1.62785,0.007096,0.007096,0.007096
46,1030.11,0.71566,0.47156,0.97252,0.68056,0.69382,0.72242,0.34799,1.85521,1.16644,1.69394,0.00703,0.00703,0.00703
47,1052.43,0.71116,0.46755,0.96784,0.80857,0.6947,0.78039,0.35682,1.80206,1.07258,1.62728,0.006964,0.006964,0.006964
48,1074.79,0.69848,0.46241,0.96495,0.78274,0.71382,0.7855,0.38474,1.7377,1.14698,1.59604,0.006898,0.006898,0.006898
49,1097.1,0.70603,0.46234,0.96865,0.78878,0.77389,0.8133,0.36924,1.81236,1.01989,1.60508,0.006832,0.006832,0.006832
50,1119.45,0.69329,0.45677,0.97702,0.78434,0.68421,0.73449,0.37786,1.69496,1.22971,1.52505,0.006766,0.006766,0.006766
51,1141.78,0.67464,0.44889,0.95381,0.72342,0.73026,0.76493,0.38494,1.77524,1.1586,1.59416,0.0067,0.0067,0.0067
52,1164.17,0.69541,0.46032,0.96302,0.82303,0.73432,0.83221,0.41105,1.74305,1.0546,1.56397,0.006634,0.006634,0.006634
53,1186.57,0.67507,0.44183,0.94846,0.74077,0.7802,0.787,0.40237,1.66838,1.05967,1.52411,0.006568,0.006568,0.006568
54,1209,0.67084,0.43282,0.95404,0.7432,0.78618,0.81626,0.42943,1.6313,1.06723,1.5274,0.006502,0.006502,0.006502
55,1231.43,0.68043,0.43712,0.95446,0.71187,0.78833,0.78757,0.37999,1.74603,1.07836,1.55422,0.006436,0.006436,0.006436
56,1253.76,0.64916,0.42774,0.94191,0.71691,0.79139,0.80596,0.4143,1.69756,1.14249,1.51602,0.00637,0.00637,0.00637
57,1276.09,0.6561,0.43231,0.94308,0.73325,0.79605,0.80389,0.38439,1.7831,1.06395,1.58066,0.006304,0.006304,0.006304
58,1298.45,0.65587,0.42638,0.94121,0.85332,0.76546,0.83567,0.42029,1.71218,0.99586,1.52219,0.006238,0.006238,0.006238
59,1320.78,0.65824,0.427,0.94968,0.80158,0.71711,0.79004,0.42386,1.66591,1.06546,1.53041,0.006172,0.006172,0.006172
60,1343.14,0.64617,0.41981,0.94573,0.82193,0.74013,0.82884,0.42113,1.67256,0.99268,1.54243,0.006106,0.006106,0.006106
61,1365.5,0.64691,0.41712,0.9455,0.76405,0.77759,0.8161,0.40882,1.753,1.08938,1.60569,0.00604,0.00604,0.00604
62,1387.88,0.62809,0.41652,0.93152,0.8073,0.70724,0.8022,0.40047,1.75247,1.13079,1.57197,0.005974,0.005974,0.005974
63,1410.16,0.63671,0.41756,0.93345,0.8233,0.80592,0.83598,0.42407,1.70212,0.99236,1.55226,0.005908,0.005908,0.005908
64,1432.49,0.64649,0.41958,0.94305,0.81417,0.74945,0.7594,0.38674,1.69133,1.04329,1.57365,0.005842,0.005842,0.005842
65,1454.81,0.64123,0.40914,0.94309,0.78858,0.76645,0.84208,0.43946,1.66549,0.98572,1.53429,0.005776,0.005776,0.005776
66,1477.25,0.61923,0.39728,0.92988,0.86759,0.74342,0.8394,0.43369,1.70041,1.00439,1.56513,0.00571,0.00571,0.00571
67,1499.56,0.61682,0.39763,0.93266,0.86355,0.78289,0.84087,0.42716,1.66861,0.97174,1.50341,0.005644,0.005644,0.005644
68,1521.92,0.61474,0.40037,0.92884,0.85962,0.69408,0.79346,0.40841,1.67963,1.05663,1.60436,0.005578,0.005578,0.005578
69,1544.25,0.61307,0.39593,0.92816,0.81579,0.72837,0.80581,0.39329,1.73611,1.11408,1.58607,0.005512,0.005512,0.005512
70,1566.61,0.62848,0.42681,0.94056,0.81531,0.75511,0.8352,0.43346,1.69545,0.92732,1.54875,0.005446,0.005446,0.005446
71,1588.96,0.60213,0.39151,0.91988,0.89048,0.74892,0.86301,0.43932,1.65652,0.93957,1.53153,0.00538,0.00538,0.00538
72,1611.35,0.60304,0.38926,0.92602,0.85119,0.78947,0.86616,0.45719,1.60699,0.88929,1.47687,0.005314,0.005314,0.005314
73,1633.71,0.60591,0.39106,0.92759,0.81989,0.74671,0.84486,0.45639,1.62861,0.96969,1.49851,0.005248,0.005248,0.005248
74,1656.08,0.59254,0.3774,0.91685,0.83429,0.75,0.84966,0.43956,1.6499,0.97709,1.51008,0.005182,0.005182,0.005182
75,1678.48,0.5937,0.3758,0.92324,0.85647,0.75658,0.85191,0.47619,1.54579,0.92826,1.44249,0.005116,0.005116,0.005116
76,1700.94,0.59694,0.37969,0.92294,0.8446,0.72697,0.83444,0.46588,1.53866,0.97248,1.41687,0.00505,0.00505,0.00505
77,1723.27,0.58566,0.37272,0.91918,0.82488,0.77475,0.84119,0.45133,1.57377,1.01472,1.4503,0.004984,0.004984,0.004984
78,1745.69,0.57194,0.36636,0.91706,0.83309,0.78618,0.86225,0.46674,1.64219,0.96174,1.51887,0.004918,0.004918,0.004918
79,1768.03,0.57276,0.36577,0.91309,0.80672,0.79605,0.85595,0.45613,1.56682,0.91382,1.49321,0.004852,0.004852,0.004852
80,1790.44,0.56494,0.36385,0.90671,0.89836,0.76316,0.86309,0.45351,1.63249,0.92973,1.5024,0.004786,0.004786,0.004786
81,1812.81,0.57001,0.36523,0.90734,0.80638,0.82201,0.83696,0.42612,1.6959,0.9103,1.54729,0.00472,0.00472,0.00472
82,1835.2,0.57023,0.35965,0.91563,0.85556,0.74043,0.85848,0.45816,1.61979,0.9439,1.48045,0.004654,0.004654,0.004654
83,1857.55,0.57784,0.37881,0.92163,0.84711,0.78369,0.85773,0.45525,1.60643,0.88663,1.4912,0.004588,0.004588,0.004588
84,1879.95,0.58223,0.40193,0.924,0.848,0.78913,0.84801,0.45034,1.64084,0.9155,1.52232,0.004522,0.004522,0.004522
85,1902.27,0.55454,0.35518,0.90391,0.83139,0.77853,0.85348,0.45621,1.63043,0.95049,1.52594,0.004456,0.004456,0.004456
86,1924.66,0.55925,0.35591,0.91305,0.8942,0.74013,0.85074,0.4498,1.61167,1.00323,1.49171,0.00439,0.00439,0.00439
87,1946.98,0.55687,0.35219,0.90759,0.83636,0.81908,0.86263,0.44838,1.66523,0.97346,1.54092,0.004324,0.004324,0.004324
88,1969.49,0.55887,0.35741,0.91526,0.89717,0.73026,0.84501,0.44659,1.59042,1.01166,1.45922,0.004258,0.004258,0.004258
89,1991.79,0.5495,0.35254,0.90918,0.82113,0.8125,0.86333,0.46555,1.61229,0.91432,1.49849,0.004192,0.004192,0.004192
90,2014.28,0.54725,0.35523,0.90579,0.87996,0.79578,0.86197,0.45499,1.63994,0.88798,1.49871,0.004126,0.004126,0.004126
